"Name","Value"
"Address","https://spolecznosc.allegro.pl/t5/zaawansowani-sprzedawcy/czy-rendering-3d-przedmiotu-należy-oznaczać-jako-wygenerowany/td-p/1208593"
"URL Encoded Address","https://spolecznosc.allegro.pl/t5/zaawansowani-sprzedawcy/czy-rendering-3d-przedmiotu-nale%C5%BCy-oznacza%C4%87-jako-wygenerowany/td-p/1208593"
"Content Type","text/html;charset=UTF-8"
"Status Code","200"
"Status","OK"
"Indexability","Indexable"
"Title 1","Rozwiązano: Czy rendering 3d przedmiotu należy oznaczać jako  wygenerowany przez AI - Społeczność Allegro - 1208593"
"Title 1 Length","115"
"Title 1 Pixel Width","1064"
"Meta Description 1","Rozwiązano: Czy ilustracje wykonane za pomocą programu renderującego 3d, należy oznaczać jako wygenerowany przez AI ? - 1208593"
"Meta Description 1 Length","127"
"Meta Description 1 Pixel Width","866"
"H1-1","Allegro Gadane"
"H1-1 Length","14"
"H2-1","Czy rendering 3d przedmiotu należy oznaczać jako wygenerowany przez AI"
"H2-1 Length","70"
"H2-2",""
"H2-2 Length","0"
"Canonical Link Element 1","https://spolecznosc.allegro.pl/t5/zaawansowani-sprzedawcy/czy-rendering-3d-przedmiotu-należy-oznaczać-jako-wygenerowany/td-p/1208593"
"Canonical Link Element 1 Origin","HTML"
"Canonical Link Element 1 Indexability","Indexable"
"Size","355.2 kB"
"Transferred","46.6 kB"
"Total Transferred","46.6 kB"
"CO2 (mg)","6,903"
"Carbon Rating",""
"Word Count","425"
"Sentence Count","133"
"Average Words Per Sentence","3,20"
"Flesch Reading Ease Score","50,32"
"Readability","Fairly Hard"
"Text Ratio","0,84"
"Crawl Depth","3"
"Folder Depth","4"
"Link Score",""
"Inlinks","19"
"Unique Inlinks","4"
"Unique JS Inlinks","0"
"% of Total","2.05"
"Outlinks","76"
"Unique Outlinks","50"
"Unique JS Outlinks","0"
"External Outlinks","1"
"Unique External Outlinks","1"
"Unique External JS Outlinks","0"
"Hash","df6cd01baf2e441b9b4f0d4a25dc5cee"
"Response Time","0,33"
"Last Modified",""
"Form 0 Action Link","https://spolecznosc.allegro.pl/t5/forums/v5/forumtopicpage.searchformv32.form.form"
"Form 0 Action Path Type","Absolute"
"Language","pl"
"HTTP Version","1.1"
"Crawl Timestamp","2026-08-05 22:54:50"
